kolom,tipe,n_terisi,n_hilang,persen_hilang,n_unik,contoh_nilai
episode_id,str,1212,0,0.0,1200,EP000802
patient_code,str,1212,0,0.0,1199,RM-121358
hospital_admission_datetime,datetime64[us],1176,36,2.97,1163,2025-12-07 14:29:00
icu_admission_datetime,datetime64[us],1212,0,0.0,1199,2025-12-08 03:11:00
icu_discharge_datetime,datetime64[ns],1212,0,0.0,1200,2025-12-11 13:21:00
hospital_discharge_datetime,datetime64[us],1212,0,0.0,1200,2025-12-13 11:00:00
age,int64,1212,0,0.0,74,76
sex,str,1212,0,0.0,2,Perempuan
jkn_class,int64,1212,0,0.0,3,3
icu_admission_type,str,1212,0,0.0,2,Emergensi
referral_flag,int64,1212,0,0.0,2,0
diagnosis_category,str,1212,0,0.0,7,Kardiovaskular
mechanical_ventilation,int64,1212,0,0.0,2,1
vasopressor_inotrope,int64,1212,0,0.0,2,1
transfusion_prc,int64,1212,0,0.0,2,0
surgery_24h,str,1212,0,0.0,3,tidak
map_lowest,float64,1193,19,1.57,82,65.0
spo2_lowest,float64,1103,109,8.99,17,91.0
fio2_lowest,float64,1103,109,8.99,67,0.38
gcs_lowest,float64,915,297,24.5,13,14.0
gcs_note,str,1212,0,0.0,2,tersedasi_seluruh_24_jam
oxygen_device,str,1212,0,0.0,5,Ventilator
creatinine_highest,float64,1156,56,4.62,314,1.16
icu_los_days,float64,1212,0,0.0,707,3.42
post_icu_los_days,float64,1212,0,0.0,588,1.9
discharge_status,str,1212,0,0.0,2,Hidup
inacbg_severity_level,int64,1212,0,0.0,3,3
total_hospital_billing,float64,1200,12,0.99,1188,44730067.0
inacbg_claim,float64,1200,12,0.99,1188,68282701.0
pre_icu_los_hours,float64,1176,36,2.97,424,12.7
sf_ratio_lowest,float64,1103,109,8.99,350,239.4736842105263
claim_to_billing_ratio,float64,1188,24,1.98,1176,1.5265503850016588
under_reimbursement_eksploratif,float64,1188,24,1.98,2,0.0
