variabel,kategori,n,kejadian,prevalensi,ik95_bawah,ik95_atas
jkn_class,1,177,105,0.5932,0.5196,0.6629
jkn_class,3,630,357,0.5667,0.5277,0.6048
jkn_class,2,381,213,0.5591,0.5089,0.6081
icu_admission_type,Emergensi,811,463,0.5709,0.5366,0.6046
icu_admission_type,Elektif,377,212,0.5623,0.5119,0.6115
diagnosis_category,Respirasi,193,126,0.6528,0.5833,0.7164
diagnosis_category,Neurologi,183,111,0.6066,0.5343,0.6744
diagnosis_category,Lainnya,91,55,0.6044,0.5017,0.6987
diagnosis_category,Sepsis/Infeksi,257,155,0.6031,0.5422,0.661
diagnosis_category,Gastrointestinal,157,88,0.5605,0.4823,0.6358
diagnosis_category,Trauma/Bedah,128,59,0.4609,0.377,0.5472
diagnosis_category,Kardiovaskular,179,81,0.4525,0.3814,0.5257
surgery_24h,emergensi,240,217,0.9042,0.8603,0.9353
surgery_24h,elektif,281,179,0.637,0.5793,0.691
surgery_24h,tidak,667,279,0.4183,0.3814,0.4561
mechanical_ventilation,1,676,480,0.7101,0.6747,0.743
mechanical_ventilation,0,512,195,0.3809,0.3398,0.4237
vasopressor_inotrope,1,637,434,0.6813,0.6441,0.7163
vasopressor_inotrope,0,551,241,0.4374,0.3965,0.4791
transfusion_prc,1,326,208,0.638,0.5845,0.6883
transfusion_prc,0,862,467,0.5418,0.5084,0.5748
