peringkat,variabel,mean_abs_shap,korelasi_fitur_vs_shap,arah_pengaruh,kontribusi_relatif
1,surgery_24h_tidak,0.71656,-0.985,nilai tinggi menurunkan risiko,0.2034
2,sf_ratio_lowest,0.39056,-0.922,nilai tinggi menurunkan risiko,0.1109
3,surgery_24h_emergensi,0.30751,0.996,nilai tinggi menaikkan risiko,0.0873
4,mechanical_ventilation,0.29934,0.978,nilai tinggi menaikkan risiko,0.085
5,map_lowest,0.27275,-0.943,nilai tinggi menurunkan risiko,0.0774
6,pre_icu_los_log1p,0.25772,0.522,nilai tinggi menaikkan risiko,0.0732
7,gcs_lowest,0.24304,-0.373,nilai tinggi menurunkan risiko,0.069
8,creatinine_highest,0.21282,0.07,nilai tinggi menaikkan risiko,0.0604
9,diagnosis_category_Kardiovaskular,0.13197,-0.99,nilai tinggi menurunkan risiko,0.0375
10,age,0.11454,-0.849,nilai tinggi menurunkan risiko,0.0325
11,transfusion_prc,0.10489,-0.972,nilai tinggi menurunkan risiko,0.0298
12,diagnosis_category_Trauma/Bedah,0.08333,-0.988,nilai tinggi menurunkan risiko,0.0237
13,jkn_class,0.06582,0.522,nilai tinggi menaikkan risiko,0.0187
14,msofa_total,0.06335,0.545,nilai tinggi menaikkan risiko,0.018
15,diagnosis_category_Lainnya,0.04914,0.992,nilai tinggi menaikkan risiko,0.0139
16,organ_support_count,0.04779,0.099,nilai tinggi menaikkan risiko,0.0136
17,gcs_unassessable,0.04688,0.94,nilai tinggi menaikkan risiko,0.0133
18,vasopressor_inotrope,0.03352,0.894,nilai tinggi menaikkan risiko,0.0095
19,sex_Perempuan,0.02889,0.537,nilai tinggi menaikkan risiko,0.0082
20,diagnosis_category_Respirasi,0.01924,0.968,nilai tinggi menaikkan risiko,0.0055
21,icu_admission_type_Emergensi,0.019,-0.737,nilai tinggi menurunkan risiko,0.0054
22,diagnosis_category_Sepsis/Infeksi,0.00932,-0.362,nilai tinggi menurunkan risiko,0.0026
23,diagnosis_category_Neurologi,0.00474,0.921,nilai tinggi menaikkan risiko,0.0013
